"Population","SDab","SDab_sem","SDad","SDad_sem","GCLab","GCLab_sem","GCLad","GCLad_sem","SAIab","SAIab_sem","SAIad","SAIad_sem","Region.x","WUE","WUE_sem","Region.y"
"AB-LL",165.264423085769,7.04594953682853,122.696314103846,5.46161754164051,28.1410256153846,0.437211437045925,28.0871795,0.502839044313617,3.44225760880769,0.127179047143859,3.39533253203846,0.130811028453393,"Prairie","-29.801","0.210287897892389","Prairie"
"CAR-NBA",285.773026310526,11.4072038277801,217.927631578947,9.0333278668655,25.8558557567568,0.263598735034202,24.9909909189189,0.248033836653121,5.50578897308108,0.200821778488758,5.47531905448649,0.20909448568544,"GL Alvar","-29.4791666666667","0.23326100069331","GL Alvar"
"CAR-PSR",318.196614578125,10.5023028732396,197.679924245455,7.43901439485708,26.5625,0.336280161675397,24.875,0.254225333606005,6.26800536825,0.178855090294738,4.98969183559375,0.187688974217711,"GL Alvar","-29.532","0.132425450726059","GL Alvar"
"MAN-FOX",230.034722214815,9.38720378684094,165.307971015652,6.84371503281135,27.1358024814815,0.396991241925847,27.3939393181818,0.333820490668446,4.68400366992593,0.207176033304641,4.4799557925,0.170731929298572,"GL Alvar","-29.48","0.218105479069188","GL Alvar"
"MAN-KIP",263.67187499375,8.37775528469994,170.665922617857,6.3979724461581,26.30208334375,0.240866349220331,25.4761904642857,0.282644031957799,5.18870036090625,0.159487974090497,4.32617187039286,0.152166147231492,"GL Alvar","-29.392","0.0777431669023075","GL Alvar"
"MAN-LCI",241.477272724242,10.2952093706619,159.801136370606,6.67737752690975,27.5151515757576,0.272805431281972,26.6161616060606,0.302804751045776,4.95334202793939,0.191900118441443,4.23861005739394,0.174099193368733,"GL Alvar","-28.68","0.402678531834018","GL Alvar"
"MAN-MIS",270.077284951613,12.6287383934248,183.738425922222,8.75430258589988,27.6559140645161,0.26854428339704,27.7962963611111,0.262694547729156,5.589612755,0.252656340974856,5.06823882402778,0.217977058588791,"GL Alvar","-28.945333334","0.211532372372541","GL Alvar"
"MB-CRN",231.346899223256,7.46774322126405,193.142361109524,5.76626876857871,26.8968254285714,0.241317292103938,26.2601626097561,0.272281665696125,4.65130518835714,0.127590203852112,5.03313431836585,0.146604318747119,"M Alvar","-29.471","0.231605267643031","M Alvar"
"MB-MR",261.65674602619,12.0065584333392,193.4070122,8.41835957077763,26.0650405853659,0.28683250843175,25.983739902439,0.331507894759289,5.09289251795122,0.208926312564052,4.9826389035122,0.205385394335321,"M Alvar","-29.895","0.178689675135415","M Alvar"
"MI-DRI",218.931686044186,7.46318297789116,140.558226506667,4.95233287701684,28.4285714285714,0.286803630500932,28.0683760769231,0.304905659979307,4.64688739861905,0.142694715860156,3.93251424638462,0.13880045922284,"GL Alvar","-29.8525","0.191719195700379","GL Alvar"
"MN-PMG",201.8229166875,20.5877451764233,136.71875001125,19.6856496337515,27.624999875,0.528690793244145,28.333333375,0.870595460790608,4.134928363625,0.346391235701295,3.835720493625,0.527630569293466,"Prairie","-29.843","0.436868401237718","Prairie"
"NAP-ASS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-29.945","0.191924464308228","GL Alvar"
"NAP-CE",257.558434958537,9.57691294110765,179.566375972093,5.13590077347243,27.1544715365854,0.282486755780471,26.9534884186046,0.244627370040479,5.21404979731707,0.18274490394803,4.80589874825581,0.119171407422364,"GL Alvar","-29.706","0.0571270513854863","GL Alvar"
"NAP-SCH",271.577380957143,10.4470502273634,162.259615379231,7.52451773576963,26.9047618928571,0.259712373654396,26.3333333461538,0.35150470077464,5.48816498860714,0.229661039040829,4.23026843280769,0.17259409119603,"GL Alvar","-29.366","0.159580700587508","GL Alvar"
"ND-BSP",217.168898817857,10.6128163502062,164.062500008,7.03205370915848,27.8518518888889,0.406266195790835,27.50666672,0.277288453967537,4.43660784025926,0.182638242796859,4.47725695172,0.165837374484217,"Prairie","-30.524","0.271027673863759","Prairie"
"SD-MUD",238.222064388636,9.20100870603584,149.305555553778,6.71009667088221,28.0151515227273,0.292286243914917,28.0151514772727,0.276829786577169,4.97602983072727,0.181061609318797,4.16903408352273,0.185390048569884,"Prairie","-30.271333334","0.37389630147884","Prairie"
"SD-PMG",234.375,18.5974698575953,154.62239584125,13.285534881732,28,0.42163704243764,27.291666625,0.486116786134682,4.89366319333333,0.341140033905243,4.196506068,0.345252999786569,"Prairie","-30.496","0.0713161973187018","Prairie"
"WA-BLK",139.678030306364,11.5252475821011,94.6969697018182,8.06315642417258,30.0000000909091,0.63245556078166,30.1818180909091,0.789276149648553,3.12233665581818,0.256210791235766,2.88036615309091,0.294815670229519,"Prairie","-29.41","0.489251128426565","Prairie"
"WNY-CB",259.73135965,9.57253448714181,179.550438594737,5.70306800455805,27.5495495675676,0.263846671508412,26.4824561315789,0.27267427707762,5.38517032937838,0.186704085267882,4.71948099394737,0.129004161921845,"GL Alvar","-29.2625","0.143432620650487","GL Alvar"
