,Population,SDab,SDab_sem,SDad,SDad_sem,GCLab,GCLab_sem,GCLad,GCLad_sem,SAIab,SAIab_sem,SAIad,SAIad_sem,Region.x,WUE,WUE_sem,Region.y,Habitat.Type,Region,Collector,Collection.Date,Latitude,Longitude,Elevation.m,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,Eref,CMD,MAR,RH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19
1,AB-LL,165.2644231,7.045949537,122.6963141,5.461617542,28.14102562,0.437211437,28.0871795,0.502839044,3.442257609,0.127179047,3.395332532,0.130811028,PRA,-29.801,0.210287898,PRA,PRA,PRA,Mary_Vetter,7/1/2015,49.543611,-114.247222,929,4.2,15.6,-8.3,23.9,498,271,28.5,57.7,855,1334,5043,36,159,149,251,102,141,-40,34.9,626,283,13.4,55,-4.158589685,1.563402711,4.976705065,-2.354083282,0.148134715,-0.409207754,-0.103183554,-0.027974252,0.046307813,0.005892577,-0.00106908,-0.003351837,-0.002253401,-0.000716254,0.000886063,0.000607529,-0.000138234,-0.000155369,1.36E-15
2,CAR-NBA,285.7730263,11.40720383,217.9276316,9.033327867,25.85585576,0.263598735,24.99099092,0.248033837,5.505788973,0.200821778,5.475319054,0.209094486,GLA,-29.47916667,0.233261001,GLA,Alvar,GLA,Jill_Hamilton,7/7/2015,44.68502,-79.05154,268,5.7,19.2,-9.1,28.2,911,398,17.2,48.2,904,1887,4611,149,167,139,273,134,258,-35.5,35.6,689,175,13.5,63,1.452220075,-2.211213292,-0.063916039,-0.442699195,-1.084261279,0.319542109,-0.050195768,0.19422826,0.108873542,-0.065608526,-0.024058645,-0.026369132,0.013056389,-0.0157509,0.031492685,0.007872705,0.007192758,-0.000304443,1.87E-15
3,CAR-PSR,318.1966146,10.50230287,197.6799242,7.439014395,26.5625,0.336280162,24.875,0.254225334,6.268005368,0.17885509,4.989691836,0.187688974,GLA,-29.532,0.132425451,GLA,Alvar,GLA,Jill_Hamilton,7/7/2015,44.64526,-79.09458,250,5.8,19.3,-8.8,28.1,899,393,17.6,49,875,1913,4558,156,169,138,273,135,249,-35.2,35.6,692,183,13.5,63,1.635435964,-1.959289364,-0.056439723,-0.385722829,-0.986815441,0.18053235,-0.016083334,0.178600783,0.108786008,-0.070288813,0.034752291,0.042595046,-0.034002381,0.018570375,-0.025543445,-0.007501253,-0.006951131,-1.54E-05,1.53E-15
4,MAN-FOX,230.0347222,9.387203787,165.307971,6.843715033,27.13580248,0.396991242,27.39393932,0.333820491,4.68400367,0.207176033,4.479955793,0.170731929,GLA,-29.48,0.218105479,GLA,Alvar,GLA,Jill_Hamilton,7/8/2015,45.89713,-82.57893,186,5,18.7,-9.7,28.4,831,364,18.1,51.4,969,1751,4811,120,173,140,276,136,241,-35.3,34.8,614,171,12.9,66,0.844902444,-2.511578142,0.662741923,0.196147117,0.607224312,0.200500416,-0.05991482,0.09399209,-0.014111735,0.088609745,-0.037038159,-0.003472099,-0.017253419,-0.013969472,0.003464512,0.023170592,-0.015108129,0.005956116,1.61E-15
5,MAN-KIP,263.671875,8.377755285,170.6659226,6.397972446,26.30208334,0.240866349,25.47619046,0.282644032,5.188700361,0.159487974,4.32617187,0.152166147,GLA,-29.392,0.077743167,GLA,Alvar,GLA,Jill_Hamilton,7/8/2015,45.87036,-82.53938,183,5.1,18.8,-9.7,28.4,827,360,18.2,52.2,961,1763,4790,124,174,140,276,136,239,-35.2,34.8,615,177,12.9,66,0.907513368,-2.381865881,0.685846242,0.2661617,0.624239867,0.130142997,-0.085616825,0.087651919,-0.06167467,0.092715059,-0.031265719,-0.023435436,-0.049869875,-0.00988847,0.005819066,-0.022327487,0.007237935,-0.005416955,1.17E-15
6,MAN-LCI,241.4772727,10.29520937,159.8011364,6.677377527,27.51515158,0.272805431,26.61616161,0.302804751,4.953342028,0.191900118,4.238610057,0.174099193,GLA,-28.68,0.402678532,GLA,Alvar,GLA,Jill_Hamilton,7/9/2015,45.99426,-81.89436,182,4.6,18.2,-10.3,28.4,835,369,17.5,49.1,1026,1674,4941,98,166,143,273,130,254,-36.4,34.5,618,168,12.8,64,0.020708657,-2.94473036,0.761354789,0.018703101,0.082454113,0.096695932,0.0649183,0.229042574,-0.059624805,0.128965982,-0.014023951,-0.028076413,0.048774671,0.02428941,-0.021075551,0.00406598,0.005487567,-0.002197802,1.65E-15
7,MAN-MIS,270.077285,12.62873839,183.7384259,8.754302586,27.65591406,0.268544283,27.79629636,0.262694548,5.589612755,0.252656341,5.068238824,0.217977059,GLA,-28.94533333,0.211532372,GLA,Alvar,GLA,Jill_Hamilton,7/8/2015,45.80825,-82.75912,193,5.2,18.8,-9.2,28,822,369,18.5,50.9,929,1758,4760,122,173,139,276,136,226,-34.8,34.6,613,164,12.9,66,1.020462307,-2.440922892,0.655655105,-0.040643668,0.719449421,0.164614288,0.08017566,-0.039680457,-0.009571295,-0.003544122,0.061712452,0.10437992,0.02446795,0.002943956,0.018669339,-0.011103397,0.00229058,0.003972306,1.28E-15
8,MB-CRN,231.3468992,7.467743221,193.1423611,5.766268769,26.89682543,0.241317292,26.26016261,0.272281666,4.651305188,0.127590204,5.033134318,0.146604319,MBA,-29.471,0.231605268,MBA,PRA,MBA,Rebekah_Neufeld,7/2/2015,51.070942,-97.461336,231,0.2,17.4,-20.7,38.1,540,332,18.9,52.3,2182,1375,6515,60,125,156,250,94,163,-47,37.3,617,225,12.6,52,-8.136093709,-1.027798855,-0.44111229,0.837721013,-0.611201649,-0.038742589,0.00453629,-0.074037617,-0.065106634,0.007748189,-0.022714811,0.03622365,0.009981023,-0.037678117,-0.018816739,-0.001065981,0.00207041,-0.000667338,1.28E-15
9,MB-MR,261.656746,12.00655843,193.4070122,8.418359571,26.06504059,0.286832508,25.9837399,0.331507895,5.092892518,0.208926313,4.982638904,0.205385394,MBA,-29.895,0.178689675,MBA,PRA,MBA,Rebekah_Neufeld,7/2/2015,51.184289,-97.626839,231,0.2,17.6,-20.9,38.4,521,321,19.6,54.7,2183,1388,6506,65,129,155,251,97,156,-46.5,37.4,609,228,12.5,53,-7.955412602,-0.756449211,-0.391474392,1.076176267,-0.186698084,-0.036804657,-0.127228248,-0.096801374,-0.049724841,-0.024888572,0.026160646,-0.026753029,-0.012581299,0.037680599,0.021155567,0.001346828,-0.002554997,0.001163137,7.49E-16
10,MI-DRI,218.931686,7.463182978,140.5582265,4.952332877,28.42857143,0.286803631,28.06837608,0.30490566,4.646887399,0.142694716,3.932514246,0.138800459,GLA,-29.8525,0.191719196,GLA,Alvar,GLA,Jill_Hamilton,7/10/2015,46.08578,-83.69201,188,4.9,18.9,-9.6,28.5,781,384,19.1,49.2,979,1737,4846,122,168,142,274,132,203,-35.4,34.9,621,161,NA,65,0.377584713,-2.306207718,0.351533031,-0.336645729,0.607141639,0.157034623,0.484218856,-0.117422624,-0.135028447,-0.20146924,-0.010346189,-0.038683655,-0.002365868,-0.00141591,-0.007810493,0.003736018,2.58E-05,-0.001416142,1.33E-15
11,MN-PMG,201.8229167,20.58774518,136.71875,19.68564963,27.62499988,0.528690793,28.33333338,0.870595461,4.134928364,0.346391236,3.835720494,0.527630569,PRA,-29.843,0.436868401,PRA,PRA,PRA,PRA_Moon_Nursery,NA,47.7742,-96.6081,267,4,21,-15.8,36.8,512,352,27.4,59.7,1557,1996,5304,237,159,137,267,130,79,-41.8,40.1,699,267,12.4,57,-2.252364903,2.792972644,-2.185476862,0.232348986,0.770408732,0.03589506,0.101347328,0.136432562,0.266941078,0.006613456,0.127484706,-0.032456843,0.001527928,-0.011638909,-0.004495147,0.002780907,0.000593658,-0.002186838,1.18E-15
