Sample.ID,Date.Collected,Region,Population,MaterNAl_Family,Individual,GCLab,GCLad,SDab,SDad,SAIab,SAIad,BLOCK.POS,Family.Unique,Family.NonUnique,Block.ID
AB-LL.22.7,7/18/2016,Prairie,AB-LL,22,7,24,18.933333,143.2291667,169.2708333,2.578125001,3.204861054,7-M4,AB-LL_22,22,7
MB-MR.13.7,7/28/2016,M Alvar,MB-MR,13,7,24.333333,19.666667,169.2708333,208.3333333,3.089192665,4.097222291,7-F13,MB-MR_13,13,7
NAP-SCH.11.6,7/29/2016,GL Alvar,NAP-SCH,11,6,27,20.666667,234.375,234.375,4.74609375,4.843750078,6-N10,NAP-SCH_11,11,6
CAR-PSR.6.5,7/1/2016,GL Alvar,CAR-PSR,6,5,24,21,351.5625,247.3958333,6.328125,5.195312499,5-E3,CAR-PSR_6,6,5
MB-CRN.27.4,7/28/2016,M Alvar,MB-CRN,27,4,27.333333,21,195.3125,247.3958333,4.003906201,5.195312499,4-C15,MB-CRN_27,27,4
CAR-NBA.1.4,7/18/2016,GL Alvar,CAR-NBA,1,4,NA,21.333333,NA,208.3333333,NA,4.444444374,4-B10,CAR-NBA_1,1,4
MI-DRI.25.5,7/29/2016,GL Alvar,MI-DRI,25,5,22.666667,21.666667,312.5,182.2916667,5.312500078,3.949652839,5-J16,MI-DRI_25,25,5
MB-MR.19.6,7/28/2016,M Alvar,MB-MR,19,6,26.666667,21.666667,156.25,247.3958333,3.125000039,5.360243137,6-M3,MB-MR_19,19,6
CAR-NBA.7.5,7/21/2016,GL Alvar,CAR-NBA,7,5,25.333333,22,455.7291667,351.5625,8.658854053,7.734375,5-D13,CAR-NBA_7,7,5
CAR-PSR.31.11,7/3/2016,GL Alvar,CAR-PSR,31,11,26,22,299.4791667,208.3333333,5.839843751,4.583333333,11-M3,CAR-PSR_31,31,11
AB-LL.12.2,7/16/2016,Prairie,AB-LL,12,2,28.666667,22,156.25,182.2916667,3.359375039,4.010416667,2-N7,AB-LL_12,12,2
MAN-KIP.28.1,7/27/2016,GL Alvar,MAN-KIP,28,1,25.666667,22.333333,221.3541667,182.2916667,4.261067764,4.071180496,1-H5,MAN-KIP_28,28,1
MAN-KIP.16.5,7/27/2016,GL Alvar,MAN-KIP,16,5,23,22.666667,364.5833333,143.2291667,6.289062499,3.246527826,5-M5,MAN-KIP_16,16,5
MB-MR.21.4,7/6/2016,M Alvar,MB-MR,21,4,23.333333,22.666667,520.8333333,260.4166667,9.114583203,5.902777865,4-I12,MB-MR_21,21,4
CAR-NBA.10.2,7/19/2016,GL Alvar,CAR-NBA,10,2,27,22.666667,286.4583333,260.4166667,5.800781249,5.902777865,2-M14,CAR-NBA_10,10,2
MB-CRN.10.8,7/28/2016,M Alvar,MB-CRN,10,8,29,22.666667,221.3541667,169.2708333,4.814453126,3.836805611,8-C16,MB-CRN_10,10,8
CAR-PSR.31.4,7/3/2016,GL Alvar,CAR-PSR,31,4,NA,22.666667,NA,195.3125,NA,4.427083398,4-G10,CAR-PSR_31,31,4
CAR-PSR.10.12,7/22/2016,GL Alvar,CAR-PSR,10,12,23.666667,23,338.5416667,195.3125,6.009114669,4.4921875,12-B14,CAR-PSR_10,10,12
MB-MR.21.6,7/6/2016,M Alvar,MB-MR,21,6,25,23,286.4583333,208.3333333,5.371093749,4.791666666,6-B14,MB-MR_21,21,6
CAR-NBA.1.9,7/18/2016,GL Alvar,CAR-NBA,1,9,25.333333,23,325.5208333,221.3541667,6.184895751,5.091145834,9-D3,CAR-NBA_1,1,9
NAP-CE.24.9,7/29/2016,GL Alvar,NAP-CE,24,9,26.333333,23,351.5625,221.3541667,6.943359287,5.091145834,9-B10,NAP-CE_24,24,9
CAR-NBA.1.3,7/18/2016,GL Alvar,CAR-NBA,1,3,24.333333,23.333333,221.3541667,221.3541667,4.039713487,5.164930483,3-E14,CAR-NBA_1,1,3
MB-CRN.21.8,7/28/2016,M Alvar,MB-CRN,21,8,25,23.333333,234.375,143.2291667,4.39453125,3.342013842,8-F5,MB-CRN_21,21,8
CAR-PSR.6.10,7/1/2016,GL Alvar,CAR-PSR,6,10,25.333333,23.333333,351.5625,143.2291667,6.679687412,3.342013842,10-L5,CAR-PSR_6,6,10
CAR-PSR.31.12,7/3/2016,GL Alvar,CAR-PSR,31,12,NA,23.333333,NA,182.2916667,NA,4.253472162,12-G14,CAR-PSR_31,31,12
MAN-KIP.28.9,7/27/2016,GL Alvar,MAN-KIP,28,9,NA,23.333333,NA,156.25,NA,3.645833281,9-D11,MAN-KIP_28,28,9
CAR-NBA.12.8,7/20/2016,GL Alvar,CAR-NBA,12,8,19.666667,23.666667,325.5208333,169.2708333,4.801432373,4.006076445,8-H12,CAR-NBA_12,12,8
